================================================================================
ЛОГ ЗАГРУЗКИ КОНКУРСОВ
Дата: 29.04.2026 10:49:52
Файл: конкурсы минпросвещения (1).xlsx
Режим: add
================================================================================

Создано: 606
Обновлено: 0
Пропущено: 0
Ошибок: 0

ДЕТАЛИ:
--------------------------------------------------------------------------------
Строка 2: CREATE | 1.1. Всероссийская олимпиада школьников (заключительный этап)
Строка 166: CREATE | 6.132. Всероссийская междисциплинарная олимпиада школьников 8-11 класса "Национальная технологическая олимпиада"
Строка 168: CREATE | 6.133. Всероссийская метапредметная олимпиада "Ближе к Дальнему"
Строка 170: CREATE | 6.134. Всероссийская научно-практическая конференция исследовательских работ обучающихся младшего (2-5 классы) и среднего звена (6-8 классы) "ДИАЛОГ"
Строка 172: CREATE | 6.135. Всероссийская научно-практическая конференция учащихся "Творчество юных"
Строка 174: CREATE | 6.136. Всероссийская научно-практическая конференция школьников "Наука и творчество"
Строка 176: CREATE | 6.137. Всероссийская научно-техническая олимпиада по ТРИЗ "ИКаРиада"
Строка 178: CREATE | 6.138. Всероссийская образовательно-конкурсная программа в сфере науки, искусства и спорта "Большие вызовы" (интенсивные профильные программы Образовательного центра "Сириус")
Строка 180: CREATE | 6.139. Всероссийская олимпиада "Все дороги ведут в МАДИ"
Строка 182: CREATE | 6.14. II Всероссийский детский конкурс "Под звуки духового оркестра"
Строка 184: CREATE | 6.140. Всероссийская олимпиада "Инноваторы"
Строка 186: CREATE | 6.141. Всероссийская олимпиада "Максимум профессий"
Строка 188: CREATE | 6.142. Всероссийская олимпиада "Олимпиада Фоксфорда 2025"
Строка 190: CREATE | 6.143. Всероссийская олимпиада "Путь в IТ"
Строка 192: CREATE | 6.144. Всероссийская олимпиада "Символы России. Великая Отечественная война: Путь к Победе", посвящённая 80-летию Победы в Великой Отечественной войне
Строка 194: CREATE | 6.145. Всероссийская олимпиада (с международным участием) по сервису и туризму среди учащихся образовательных организаций на базе ФГАОУ ВО "Северо-Кавказский федеральный университет"
Строка 196: CREATE | 6.146. Всероссийская олимпиада для студентов по финансам и финансовым рынкам им. Б.Н. Христенко
Строка 198: CREATE | 6.147. Всероссийская олимпиада имени Мстислава Келдыша по информатике
Строка 200: CREATE | 6.148. Всероссийская олимпиада по агрогенетике "Иннагрика"
Строка 202: CREATE | 6.149. Всероссийская олимпиада по искусственному интеллекту (с возможностью участия иностранных обучающихся)
Строка 204: CREATE | 6.15. II Всероссийский конкурс пианистов имени М.С. Лебензон
Строка 206: CREATE | 6.150. Всероссийская олимпиада по музыкальной литературе среди обучающихся по программам среднего профессионального образования
Строка 208: CREATE | 6.151. Всероссийская олимпиада по музыкально-теоретическим предметам среди обучающихся по программам дополнительного образования старших классов детских школ искусств
Строка 210: CREATE | 6.152. Всероссийская олимпиада по педагогике "Педагогическая мастерская"
среди студентов,
обучающихся
по педагогическим
направлениям подготовки
Строка 212: CREATE | 6.153. Всероссийская олимпиада по страноведению англоязычных стран
Строка 214: CREATE | 6.154. Всероссийская олимпиада по техническому английскому языку
Строка 216: CREATE | 6.16. III Всероссийский конкурс театрального искусства "Русский век"
Строка 218: CREATE | 6.160. Всероссийская олимпиада школьников "13-й элемент. АLхимия будущего"
Строка 220: CREATE | 6.161. Всероссийская олимпиада школьников "Знатоки права"
Строка 222: CREATE | 6.162. Всероссийская олимпиада школьников "Просветум-олимпиада"
Строка 224: CREATE | 6.163. Всероссийская Олимпиада школьников "Юридические высоты!"
Строка 226: CREATE | 6.164. Всероссийская олимпиада школьников и студентов образовательных организаций СПО "Акмуллинская олимпиада"
Строка 228: CREATE | 6.165. Всероссийская олимпиада школьников по вопросам избирательного права и избирательного процесса
Строка 230: CREATE | 6.166. Всероссийская олимпиада школьников по физике имени Дж. Кл. Максвелла
Строка 232: CREATE | 6.167. Всероссийская открытая комплексная олимпиада "Мы зажигаем звезды" с международным участием
Строка 234: CREATE | 6.168. Всероссийская открытая научно-практическая конференция "Многогранная Россия"
Строка 236: CREATE | 6.169. Всероссийская открытая олимпиада по математике для учащихся начальной школы
Строка 238: CREATE | 6.17. III Всероссийский конкурс фортепианного мастерства "От Невы до берегов Волги"
Строка 240: CREATE | 6.170. Всероссийская спартакиада школьных спортивных клубов для обучающихся с ограниченными возможностями здоровья и детей-инвалидов
Строка 242: CREATE | 6.171. Всероссийская теоретическая олимпиада 2026
Строка 244: CREATE | 6.172. Всероссийская юношеская научно-практическая конференция "Будущее сильной России - в высоких технологиях"
Строка 246: CREATE | 6.173. Всероссийская ЯКлассная Олимпиада по английскому языку
Строка 248: CREATE | 6.174. Всероссийская ЯКлассная Олимпиада по биологии
Строка 250: CREATE | 6.175. Всероссийская ЯКлассная Олимпиада по истории
Строка 252: CREATE | 6.176. Всероссийская ЯКлассная Олимпиада по русскому языку
Строка 254: CREATE | 6.177. Всероссийские соревнования по подводной робототехнике
Строка 256: CREATE | 6.18. III Всероссийский чемпионат "FEvr/arT"
Строка 258: CREATE | 6.183. Всероссийский героико-патриотический конкурс-фестиваль художественного творчества "Славим Россию"
Строка 260: CREATE | 6.184. Всероссийский детский конкурс научно-исследовательских и творческих работ "Читай. Размышляй. Применяй."
Строка 262: CREATE | 6.185. Всероссийский детский конкурс научно-исследовательских и творческих работ "Изучай. Открывай. Внедряй."
Строка 264: CREATE | 6.186. Всероссийский детский фестиваль народной культуры "Наследники традиций"
Строка 266: CREATE | 6.187. Всероссийский Детский экологический форум
Строка 268: CREATE | 6.188. Всероссийский детско-юношеский фестиваль народного творчества "Милли хэзинэ"
Строка 270: CREATE | 6.189. Всероссийский ежегодный конкурс оценки уровня экологической грамотности "Зелёный Зачёт"
Строка 272: CREATE | 6.19. III Международный открытый конкурс молодых исполнителей "Розовая чайка"
Строка 274: CREATE | 6.190. Всероссийский инженерный конкурс школьников "Энергия старта"
Строка 276: CREATE | 6.191. Всероссийский кейс-чемпионат "КЛЮЧ"
Строка 278: CREATE | 6.192. Всероссийский комплекс конкурсных мероприятий "Науки юношей питают" (с международным участием) среди педагогических, руководящих и иных работников организаций, осуществляющих образовательную деятельность, студентов среднего профессионального образования, учащихся общеобразовательных организаций и воспитанников дошкольных образовательных организаций
Строка 280: CREATE | 6.193. Всероссийский конкурс "Большое путешествие по стране: Дальний Восток (география, этнография, культура)"
Строка 282: CREATE | 6.194. Всероссийский конкурс "АгроНТРИ-2025"
Строка 284: CREATE | 6.195. Всероссийский конкурс "Большая перемена"
Строка 286: CREATE | 6.196. Всероссийский конкурс "Идеи, преображающие города"
Строка 288: CREATE | 6.197. Всероссийский конкурс "Использование прыжков через резинку в физкультурно-оздоровительной работе"
Строка 290: CREATE | 6.198. Всероссийский конкурс "История местного самоуправления моего края"
Строка 292: CREATE | 6.199. Всероссийский конкурс "Кадры для цифровой промышленности. Создание законченных проектно-конструкторских решений в режиме соревнований "Кибердром"
Строка 294: CREATE | 6.2. "Единство в различии" /Unity in Diversity/Unite en Diversite/Unidad en Diversidad) международный конкурс эссе на русском как иностранном, китайском, английском, французском и испанском языках для учащихся 7-11 классов и студентов 1-3 курсов (индивидуальный и командный)
Строка 296: CREATE | 6.20. IV Всероссийская фотоакция "СПАСИБО, МАМА и ПАПА!"
Строка 298: CREATE | 6.200. Всероссийский конкурс "Кибербезопасность детей и молодежи в цифровом мире"
Строка 300: CREATE | 6.201. Всероссийский конкурс "Культурные сокровища глазами молодых: новые туристические магниты России"
Строка 302: CREATE | 6.202. Всероссийский конкурс "Моя профессия - ИТ"
Строка 304: CREATE | 6.203. Всероссийский конкурс "Россия - страна традиционных ценностей"
Строка 306: CREATE | 6.204. Всероссийский конкурс аудио- и видеоподкастов "Расскажи о России: Герой нашего времени"
Строка 308: CREATE | 6.205. Всероссийский конкурс видеоэкскурсий "Юный экскурсовод России"
Строка 310: CREATE | 6.206. Всероссийский конкурс детей и молодежи "Юный Управдом - созидатель благоприятной среды проживания"
Строка 312: CREATE | 6.207. Всероссийский конкурс детских и молодёжных проектов "Планета - наше достояние"
Строка 314: CREATE | 6.208. Всероссийский конкурс детских рисунков "ДЕТИ РИСУЮТ ЛИДЕРА РОССИИ!"
Строка 316: CREATE | 6.209. Всероссийский конкурс естественно-научных и инженерных проектов школьников и студентов "Реактор"
Строка 318: CREATE | 6.21. IV Всероссийский конкурс детских рисунков "Время героев!"
Строка 320: CREATE | 6.210. Всероссийский конкурс "Знание.Лектор"
Строка 322: CREATE | 6.211. Всероссийский конкурс исследовательских и проектных работ школьников "Высший пилотаж"
Строка 324: CREATE | 6.212. Всероссийский конкурс исследовательских и творческих работ "Мы гордость Родины"
Строка 326: CREATE | 6.213. Всероссийский конкурс
исследовательских работ
и творческих проектов
дошкольников и младших
школьников "Я - исследователь!"
Строка 328: CREATE | 6.214. Всероссийский конкурс исследовательских работ учащихся с 11 лет до 7-го класса "Тропой открытий В.И. Вернадского"
Строка 330: CREATE | 6.215. Всероссийский конкурс краеведческих исследовательских и проектных работ "Отечество"
Строка 332: CREATE | 6.216. Всероссийский конкурс краеведческих работ обучающихся "Историко-культурное и природное наследие Сибири", посвященный деятельности Русского географического общества
Строка 334: CREATE | 6.217. Всероссийский конкурс креативных проектов и идей по развитию социальной инфраструктуры "НЕОТЕРРА"
Строка 336: CREATE | 6.218. Всероссийский конкурс
медиаконтента
о благоустройстве городов
и поселений
Строка 338: CREATE | 6.219. Всероссийский конкурс молодежных авторских проектов и проектов в сфере образования, направленных на социально-экономическое развитие российских территорий, "Моя страна - Россия"
Строка 340: CREATE | 6.22. IV Всероссийский фестиваль "Душа баяна"
Строка 342: CREATE | 6.220. Всероссийский конкурс молодежных проектов "Воплоти свою мечту!"
Строка 344: CREATE | 6.221. Всероссийский конкурс молодых дизайнеров "TОЧKA.RU".
Строка 346: CREATE | 6.222. Всероссийский конкурс молодых лекторов среди обучающихся по программам среднего профессионального образования и дополнительных образовательных программ старших классов детских школ искусств
Строка 348: CREATE | 6.223. Всероссийский конкурс на лучший литературный перевод имени Е.Ю. Гениевой
Строка 350: CREATE | 6.224. Всероссийский конкурс научно-исследовательских работ имени Д.И. Менделеева
Строка 352: CREATE | 6.225. Всероссийский конкурс научно-исследовательских работ с международным участием "Спутник"
Строка 354: CREATE | 6.226. Всероссийский конкурс
научно-практических
и исследовательских работ
обучающихся "Лестница
наук"
Строка 356: CREATE | 6.227. Всероссийский конкурс
научно-технического
и инновационного творчества
"ШУСТРИК"
Строка 358: CREATE | 6.228. Всероссийский конкурс научно-технологических проектов "Большие вызовы"
Строка 360: CREATE | 6.229. Всероссийский конкурс обучающихся "Мой вклад в Величие России"
Строка 362: CREATE | 6.23. XXXVI Международный конкурс научно-исследовательских работ студентов в области музыкального искусства
Строка 364: CREATE | 6.230. Всероссийский конкурс по робототехнике "Hello, Pioneer!"
Строка 366: CREATE | 6.231. Всероссийский конкурс проектных работ имени Сергея Соболева
Строка 368: CREATE | 6.232. Всероссийский конкурс проектов "AI for Life", связанный с решением задач применения искусственного интеллекта
Строка 370: CREATE | 6.233. Всероссийский конкурс проектов 3D-моделирования и 3D-печати "Перспектива 3D"
Строка 372: CREATE | 6.236. Всероссийский конкурс творческих и исследовательских работ "Слово в "Смене"
Строка 374: CREATE | 6.237. Всероссийский конкурс творческих работ и народных художественных промыслов "Полотно" с международным участием
Строка 376: CREATE | 6.238. Всероссийский конкурс творческих, проектных и исследовательских работ учащихся "#ВместеЯрче"
Строка 378: CREATE | 6.239. Всероссийский конкурс творческих, учебно-образовательных, исследовательских, научно-популярных проектов "Научно-образовательного центра педагогических проектов"
Строка 380: CREATE | 6.240. Всероссийский конкурс хоровых и вокальных коллективов
Строка 382: CREATE | 6.241. Всероссийский конкурс чтецов "Я люблю Россию"
Строка 384: CREATE | 6.242. Всероссийский конкурс школьных изданий "Больше изданий хороших и разных"
Строка 386: CREATE | 6.243. Всероссийский конкурс школьных лесничеств имени Г.Ф. Морозова
Строка 388: CREATE | 6.244. Всероссийский конкурс школьных проектов
Строка 390: CREATE | 6.245. Всероссийский конкурс экологических проектов "ЭкоПатруль"
Строка 392: CREATE | 6.246. Всероссийский конкурс юношеских исследовательских работ им. В.И. Вернадского
Строка 394: CREATE | 6.247. Всероссийский конкурс юношеских проектов "Путь к Ноосфере"
Строка 396: CREATE | 6.248. Всероссийский конкурс юных аграриев имени К.А. Тимирязева
Строка 398: CREATE | 6.249. Всероссийский конкурс юных
исследователей окружающей
среды имени
Б.В. Всесвятского
(с международным участием)
Строка 400: CREATE | 6.25. IX Всероссийская научная конференция-конкурс учащихся имени Льва Толстого
Строка 402: CREATE | 6.250. Всероссийский конкурс юных чтецов "Живая классика"
Строка 404: CREATE | 6.251. Всероссийский конкурс- фестиваль инклюзивного танца "Уникальные танцы"
Строка 406: CREATE | 6.252. Всероссийский литературно-театральный конкурс сценических постановок "ТЕАТРАЛИТ"
Строка 408: CREATE | 6.253. Всероссийский литературный конкурс чтецов русской литературы XIX-XX веков "Поэтика"
Строка 410: CREATE | 6.254. Всероссийский научно-практический форум "Менделеевские чтения"
Строка 412: CREATE | 6.255. Всероссийский научно-технический конкурс "ИнтЭРА"
Строка 414: CREATE | 6.256. Всероссийский научно-технический конкурс "Шаг к мастерству - 2026"
Строка 416: CREATE | 6.257. Всероссийский образовательный интенсив "Волонтеры науки"
Строка 418: CREATE | 6.258. Всероссийский открытый (с международным участием) конкурс юных гидов-переводчиков "Отечество нам Царское Село"
Строка 420: CREATE | 6.259. Всероссийский открытый интеллектуально-творческий конкурс "Государство - это мы"
Строка 422: CREATE | 6.26. IX Всероссийский литературный конкурс с международным участием "Звезда Арктики - Умка"
Строка 424: CREATE | 6.260. Всероссийский открытый конкурс "Знатоки истории пожарной охраны 2025/2026"
Строка 426: CREATE | 6.261. Всероссийский открытый фестиваль научно-технического творчества учащихся "Траектория технической мысли - 2026"
Строка 428: CREATE | 6.262. Всероссийский проектный фестиваль "Поколение Z - это МЫ!"
Строка 430: CREATE | 6.263. Всероссийский профориентационный конкурс "Мой выбор профессии - мой выбор будущего"
Строка 432: CREATE | 6.264. Всероссийский профориентационный технологический конкурс с международным участием "Инженерные кадры России" (ИКаР)
Строка 434: CREATE | 6.265. Всероссийский семейный конкурс "Мама, почитай мне, а я нарисую"
Строка 436: CREATE | 6.266. Всероссийский творческий конкурс талантов "Я - художник!"
Строка 438: CREATE | 6.267. Всероссийский фестиваль детского творчества "КосмоДеТвоРа", посвященный 65-летию первого полета человека в космос
Строка 440: CREATE | 6.268. Всероссийский фестиваль робототехники РОБОСИТИ 2026
Строка 442: CREATE | 6.269. Всероссийский фестиваль творческих детско-взрослых проектов "Юный исследователь"
Строка 444: CREATE | 6.27. IX Международный кинофорум "Десятая Муза в Санкт-Петербурге"
Строка 446: CREATE | 6.270. Всероссийский фестиваль творческих открытий и инициатив "Леонардо"
Строка 448: CREATE | 6.271. Всероссийский фестиваль-конкурс "Хрустальные звездочки"
Строка 450: CREATE | 6.272. Всероссийский фестиваль-конкурс жестового пения "От сердца к сердцу"
Строка 452: CREATE | 6.273. Всероссийский форсайт "Новое измерение: реальные профессии"
Строка 454: CREATE | 6.274. Всероссийский форум научной молодёжи "Шаг в будущее"
Строка 456: CREATE | 6.275. Всероссийский хакатон в области визуального программирования на платформах "Kodu Game Lab", "Scratch", "MIT App Inventor", "Кулибин"
Строка 458: CREATE | 6.276. Всероссийский хакатон по 3D/VR-разработке "Varwin Хакатон 2026"
Строка 460: CREATE | 6.277. Всероссийский хакатон по биотехнологиям "БИОХАКАТОН"
Строка 462: CREATE | 6.278. Всероссийский хакатон
по нанотехнологиям
(с международным участием)
Строка 464: CREATE | 6.279. Всероссийский химический турнир школьников
Строка 466: CREATE | 6.28. IX Всероссийская (с международным участием) олимпиада учащихся и студентов по сервису, туризму и гостиничной деятельности
Строка 468: CREATE | 6.280. Всероссийский цифровой фестиваль-конкурс STEM-творчества "ProSTEM"
Строка 470: CREATE | 6.281. Всероссийский школьный конкурс по статистике "Тренд"
Строка 472: CREATE | 6.282. Всероссийский экологический интернет-проект "КРАСНАЯ КНИГА РУКАМИ ДЕТЕЙ!" (4, 5, 6 Потоки 2025 г. -"Редкие Рыбы/Птицы/Насекомые")
Строка 474: CREATE | 6.283. Всероссийский экологический форум "Делаем (в) месте / Экосреда"
Строка 476: CREATE | 6.284. Всероссийский юниорский лесной конкурс "Подрост"
Строка 478: CREATE | 6.285. Всероссийское открытое научно-техническое Первенство по автомодельному спорту
Строка 480: CREATE | 6.287. Всероссийское чемпионатное движение по профессиональному мастерству: Чемпионат по профессиональному мастерству "Профессионалы" и Чемпионат высоких технологий
Строка 482: CREATE | 6.288. Вторая всероссийская научно-практическая конференция школьников "Новый взгляд на мир"
Строка 484: CREATE | 6.289. Вторая открытая учебно-исследовательская конференция школьников по дипломатии и международным отношениям "Модель ООН в Якутии"
Строка 486: CREATE | 6.29. V Всероссийский детский экологический фестиваль с международным участием "ЭкоСказы "Роева ручья"
Строка 488: CREATE | 6.290. Второй Всероссийский
конкурс-фестиваль
современных хореографических решений "Натанцованные Мысли"
Строка 490: CREATE | 6.291. Главный сибирский робототехнический фестиваль "Робосиб - 2026"
Строка 492: CREATE | 6.295. Дальневосточная окружная олимпиада "Правовой Олимп - 2025"
Строка 494: CREATE | 6.296. Двадцать пятый открытый Интернет-фестиваль молодых читателей России "Сочи-МОСТ- 2026"
Строка 496: CREATE | 6.3. 11-ая Всероссийская олимпиада по судостроению
Строка 498: CREATE | 6.30. V Всероссийский конкурс детских рисунков "ДЕТИ РИСУЮТ В ЗАЩИТУ ПРИРОДЫ!"
Строка 500: CREATE | 6.300. Евразийская многопрофильная олимпиада старшеклассников "Поиск"
Строка 502: CREATE | 6.306. Ежегодный открытый чемпионат среди обучающихся
Строка 504: CREATE | 6.307. Инженерная олимпиада "Кентавр"
Строка 506: CREATE | 6.308. Интегрированная олимпиада "Квадрига" для учеников начальной школы
Строка 508: CREATE | 6.309. Интеллектуальная олимпиада школьников "Телеком-планета"
Строка 510: CREATE | 6.31. V Всероссийский конкурс научно-творческих проектов студентов и аспирантов "Консерваторская наука"
Строка 512: CREATE | 6.310. Интеллектуальный конкурс "Первые шаги в науку"
Строка 514: CREATE | 6.313. Компетентностный трек Национальной технологической олимпиады: конкурс цифровых портфолио "Талант Национальной технологической олимпиады" (Трек "Талант НТО")
Строка 516: CREATE | 6.316. Конкурс "Курс на СФУ"
Строка 518: CREATE | 6.317. Конкурс "Моя родословная"
Строка 520: CREATE | 6.318. Конкурс "Нобелевские надежды КНИТУ - 2026" для учащихся 7-11 классов общеобразовательных организаций, студентов образовательных организаций среднего профессионального образования
